Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Death from serious treatable complications after surgery,Footnote - Death from serious treatable complications after surgery,Collapsed lung due to medical treatment,Footnote - Collapsed lung due to medical treatment,Serious blood clots after surgery,Footnote - Serious blood clots after surgery,A wound that splits open after surgery,Footnote - A wound that splits open after surgery,Accidental cuts and tears from medical treatment,Footnote - Accidental cuts and tears from medical treatment,Serious Complications,Footnote - Serious Complications,Number of Patients - Death from serious treatable complications after surgery,Rate - Death from serious treatable complications after surgery,Lower Estimate - Death from serious treatable complications after surgery,Higher Estimate - Death from serious treatable complications after surgery,Number of Patients - Collapsed lung due to medical treatment,Rate - Collapsed lung due to medical treatment,Lower Estimate - Collapsed lung due to medical treatment,Higher Estimate - Collapsed lung due to medical treatment,Number of Patients - Serious blood clots after surgery,Rate - Serious blood clots after surgery,Lower Estimate - Serious blood clots after surgery,Higher Estimate - Serious blood clots after surgery,Number of Patients - A wound that splits open after surgery,Rate - A wound that splits open after surgery,Lower Estimate - A wound that splits open after surgery,Higher Estimate - A wound that splits open after surgery,Number of Patients - Accidental cuts and tears from medical treatment,Rate - Accidental cuts and tears from medical treatment,Lower Estimate - Accidental cuts and tears from medical treatment,Higher Estimate - Accidental cuts and tears from medical treatment,Number of Patients - Serious Complications,Rate - Serious Complications,Lower Estimate - Serious Complications,Higher Estimate - Serious Complications
450586,SEYMOUR HOSPITAL,200 STADIUM DRIVE,,,SEYMOUR,TX,76380,BAYLOR,9408895572,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,701,0.33,0.00,0.76,8,Not Applicable,Not Applicable,Not Applicable,3,Not Applicable,Not Applicable,Not Applicable,706,1.92,0.00,4.23,Not Available,Not Available,Not Available,Not Available
491307,"PAGE MEMORIAL HOSPITAL, INC",200 MEMORIAL DRIVE,,,LURAY,VA,22835,PAGE,5407434561,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
201310,BRIDGTON HOSPITAL,10 HOSPITAL DRIVE,,,BRIDGTON,ME,04009,CUMBERLAND,2076476000,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
271324,PONDERA MEDICAL CENTER,805 SUNSET BLVD,,,CONRAD,MT,59425,PONDERA,4062713211,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
070004,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD, PO BOX 789",,,SHARON,CT,06069,LITCHFIELD,8603644228,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,17,Not Available,Not Available,Not Available,2186,0.28,0.00,0.67,337,4.30,0.44,8.16,60,0.74,0.00,2.78,2311,1.84,0.00,3.68,Not Available,Not Available,Not Available,Not Available
140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,,,CHICAGO,IL,60622,COOK,7732928200,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,41,108.44,62.11,154.77,3712,0.25,0.00,0.62,422,4.77,0.67,8.87,73,0.74,0.00,2.78,3790,1.76,0.00,3.56,Not Available,Not Available,Not Available,Not Available
450270,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,,,WHITNEY,TX,76692,HILL,2546943165,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1195,0.33,0.00,0.76,9,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1294,1.84,0.00,4.11,Not Available,Not Available,Not Available,Not Available
390045,WILLIAMSPORT REGIONAL MEDICAL CENTER,700 HIGH STREET,,,WILLIAMSPORT,PA,17701,LYCOMING,5703211000,No Different than U.S. National Rate,,Worse than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,86,130.94,91.37,170.51,10124,0.65,0.38,0.92,3689,1.60,0.00,3.60,362,0.94,0.00,2.45,10154,1.43,0.49,2.37,Not Available,Not Available,Not Available,Not Available
220070,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,,,MELROSE,MA,02176,MIDDLESEX,7819793000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,94,93.52,55.63,131.41,15277,0.27,0.00,0.54,1928,4.26,1.63,6.89,435,0.93,0.00,2.42,15710,1.66,0.70,2.62,Not Available,Not Available,Not Available,Not Available
241374,PIPESTONE COUNTY  MEDICAL CENTER ASHTON CC,916 4TH AVENUE SOUTHWEST,,,PIPESTONE,MN,56164,PIPESTONE,5078255811,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
450083,EAST TEXAS MEDICAL CENTER,1000 SOUTH BECKHAM STREET,,,TYLER,TX,75701,SMITH,9035970351,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,Better than U.S. National Rate,,267,134.14,105.45,162.83,17559,0.20,0.00,0.42,5957,2.89,1.36,4.42,719,0.54,0.00,1.68,18353,1.22,0.53,1.91,Not Available,Not Available,Not Available,Not Available
380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,,,GRANTS PASS,OR,97527,JOSEPHINE,5414727000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,35,130.68,81.78,179.58,4704,0.52,0.17,0.87,1332,4.02,1.37,6.67,212,0.52,0.00,2.23,4834,1.32,0.07,2.57,Not Available,Not Available,Not Available,Not Available
450054,SCOTT & WHITE MEMORIAL HOSPITAL,2401 31ST ST,,,TEMPLE,TX,76508,BELL,2547242111,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,353,99.66,75.04,124.28,19980,0.29,0.09,0.49,7014,3.05,1.82,4.28,892,0.51,0.00,1.63,21473,2.61,2.02,3.20,Not Available,Not Available,Not Available,Not Available
180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,,,PIKEVILLE,KY,41501,PIKE,6062183500,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,190,123.19,90.48,155.90,8991,0.41,0.14,0.68,2587,4.38,2.03,6.73,213,1.23,0.00,2.95,9606,2.16,1.12,3.20,Not Available,Not Available,Not Available,Not Available
511303,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,,,GRANTSVILLE,WV,26147,CALHOUN,3043549244,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
161303,GRUNDY COUNTY MEMORIAL HOSPITAL,201 EAST J AVENUE,,,GRUNDY CENTER,IA,50638,GRUNDY,3198245421,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,,,HACKENSACK,NJ,07601,BERGEN,2019962000,Better than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,493,82.78,60.38,105.18,27587,0.19,0.01,0.37,10078,7.07,6.05,8.09,968,0.73,0.00,1.79,29538,1.57,1.02,2.12,Not Available,Not Available,Not Available,Not Available
440001,UNICOI COUNTY MEMORIAL HOSPITAL,GREENWAY CIRCLE,,,ERWIN,TN,37650,UNICOI,4237433141,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,5,Not Available,Not Available,Not Available,1393,0.42,0.01,0.83,179,3.77,0.00,8.42,19,Not Applicable,Not Applicable,Not Applicable,1412,1.55,0.00,3.63,Not Available,Not Available,Not Available,Not Available
520100,BELOIT MEM HSPTL,1969 W HART RD,,,BELOIT,WI,53511,ROCK,6083645011,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,37,120.60,72.78,168.42,4061,0.30,0.00,0.65,915,7.59,4.22,10.96,155,0.64,0.00,2.54,4325,2.62,1.21,4.03,Not Available,Not Available,Not Available,Not Available
390228,ST CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL ROAD,,,PITTSBURGH,PA,15243,ALLEGHENY,4125614900,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,58,124.09,80.58,167.60,7707,0.35,0.06,0.64,1845,5.30,2.87,7.73,229,1.27,0.00,3.01,8045,1.32,0.24,2.40,Not Available,Not Available,Not Available,Not Available
100077,PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,,,PORT CHARLOTTE,FL,33952,CHARLOTTE,9417664122,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,77,110.12,70.70,149.54,7326,0.18,0.00,0.49,1968,3.13,0.78,5.48,152,1.45,0.00,3.31,7414,3.17,1.95,4.39,Not Available,Not Available,Not Available,Not Available
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,,,BRISTOL,TN,37620,SULLIVAN,4238441121,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,201,99.59,67.98,131.20,13091,0.26,0.00,0.53,3443,4.11,2.13,6.09,396,2.70,1.15,4.25,13888,2.17,1.29,3.05,Not Available,Not Available,Not Available,Not Available
101313,MARINERS HOSPITAL,91500 OVERSEAS HIGHWAY,,,TAVERNIER,FL,33070,MONROE,3054343000,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
310014,COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,,,CAMDEN,NJ,08103,CAMDEN,8563422000,Worse than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,225,159.26,129.53,188.99,10998,0.72,0.47,0.97,4326,9.24,7.48,11.00,817,0.69,0.00,1.98,12066,2.13,1.42,2.84,Not Available,Not Available,Not Available,Not Available
280128,NEBRASKA HEART HOSPITAL,7500 SOUTH 91ST ST,,,LINCOLN,NE,68526,LANCASTER,4023283000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,56,102.16,58.08,146.24,2764,0.44,0.17,0.71,2519,1.37,0.00,3.82,40,0.84,0.00,3.02,3651,1.04,0.00,2.10,Not Available,Not Available,Not Available,Not Available
340151,HALIFAX REGIONAL MEDICAL CENTER INC,250 SMITH CHURCH RD,,,ROANOKE RAPIDS,NC,27870,HALIFAX,2525358005,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,22,Not Available,Not Available,Not Available,6988,0.28,0.00,0.61,1155,3.41,0.23,6.59,156,0.66,0.00,2.58,7070,2.98,1.57,4.39,Not Available,Not Available,Not Available,Not Available
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,,,LEAWOOD,KS,66211,JOHNSON,9133197633,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,18,Not Available,Not Available,Not Available,581,0.33,0.00,0.76,583,4.04,0.26,7.82,Not Applicable,Not Applicable,Not Applicable,Not Applicable,578,1.88,0.00,4.17,Not Available,Not Available,Not Available,Not Available
281306,KEARNEY COUNTY HEALTH SERVICES HOSPITAL,727 EAST 1ST ST,,,MINDEN,NE,68959,KEARNEY,3088323400,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
150128,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,,,INDIANAPOLIS,IN,46227,MARION,3178877112,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,136,87.77,50.57,124.97,6156,0.35,0.04,0.66,1798,3.54,0.89,6.19,214,0.52,0.00,2.23,6364,2.27,1.11,3.43,Not Available,Not Available,Not Available,Not Available
340013,RUTHERFORD HOSPITAL INC,288 SOUTH RIDGECREST AVE,,,RUTHERFORDTON,NC,28139,RUTHERFORD,8282865000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,37,119.72,72.03,167.41,5283,0.36,0.01,0.71,961,2.36,0.00,5.55,163,2.32,0.44,4.20,5435,2.17,0.78,3.56,Not Available,Not Available,Not Available,Not Available
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,,,SONOMA,CA,95476,SONOMA,7079355000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,17,Not Available,Not Available,Not Available,1603,0.39,0.00,0.80,316,2.91,0.00,6.99,58,0.79,0.00,2.89,1641,1.52,0.00,3.36,Not Available,Not Available,Not Available,Not Available
250093,BOLIVAR MEDICAL CENTER,HWY 8 E,,,CLEVELAND,MS,38732,BOLIVAR,6628462551,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,19,Not Available,Not Available,Not Available,3571,0.33,0.00,0.70,421,3.83,0.00,7.91,108,0.69,0.00,2.65,3742,2.10,0.51,3.69,Not Available,Not Available,Not Available,Not Available
360185,SALEM COMMUNITY HOSPITAL,1995 EAST STATE STREET,,,SALEM,OH,44460,COLUMBIANA,3303321551,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,40,90.47,44.19,136.75,3625,0.40,0.05,0.75,669,2.99,0.00,6.18,142,0.62,0.00,2.48,3833,1.18,0.00,2.65,Not Available,Not Available,Not Available,Not Available
470024,NORTHWESTERN MEDICAL CENTER INC,133 FAIRFIELD STREET,,,SAINT ALBANS,VT,05478,FRANKLIN,8025245911,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,15,Not Available,Not Available,Not Available,1744,0.31,0.00,0.72,455,4.77,0.67,8.87,48,0.82,0.00,2.96,1682,2.00,0.08,3.92,Not Available,Not Available,Not Available,Not Available
360082,EUCLID HOSPITAL,18901 LAKE SHORE BOULEVARD,,,EUCLID,OH,44119,CUYAHOGA,2165319000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,41,90.74,44.64,136.84,5403,0.21,0.00,0.54,1413,6.01,3.70,8.32,69,0.77,0.00,2.85,5532,2.66,1.11,4.21,Not Available,Not Available,Not Available,Not Available
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,,,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,36,111.51,66.06,156.96,4446,0.18,0.00,0.49,679,2.84,0.00,6.35,112,0.66,0.00,2.58,4672,1.66,0.15,3.17,Not Available,Not Available,Not Available,Not Available
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,,,BEEVILLE,TX,78102,BEE,3613542000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,15,Not Available,Not Available,Not Available,1383,0.30,0.00,0.71,68,5.61,0.67,10.55,26,0.88,0.00,3.09,1443,1.63,0.00,3.77,Not Available,Not Available,Not Available,Not Available
140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,,,BLOOMINGTON,IL,61701,MCLEAN,3096623311,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,61,118.26,75.55,160.97,4666,0.54,0.21,0.87,1666,6.19,3.58,8.80,174,0.58,0.00,2.38,4698,1.39,0.16,2.62,Not Available,Not Available,Not Available,Not Available
490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,,,LEBANON,VA,24266,RUSSELL,2768838100,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,2642,0.28,0.00,0.67,35,4.50,0.00,9.56,10,Not Applicable,Not Applicable,Not Applicable,2696,1.61,0.00,3.73,Not Available,Not Available,Not Available,Not Available
161327,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,,,BLOOMFIELD,IA,52537,DAVIS,6416642145,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,,,ATLANTIC,IA,50022,CASS,7122433250,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
330211,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,,,OGDENSBURG,NY,13669,SAINT LAWRENCE,3153933600,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,15,Not Available,Not Available,Not Available,2444,0.30,0.00,0.65,296,3.07,0.00,7.24,51,0.78,0.00,2.88,2525,1.37,0.00,3.11,Not Available,Not Available,Not Available,Not Available
330004,HEALTH ALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,,,KINGSTON,NY,12401,ULSTER,9143313131,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,50,129.82,85.72,173.92,8333,0.17,0.00,0.48,1055,4.77,1.87,7.67,234,2.61,0.90,4.32,8567,1.32,0.07,2.57,Not Available,Not Available,Not Available,Not Available
140062,PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,,,PALOS HEIGHTS,IL,60463,COOK,7089234000,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,Better than U.S. National Rate,,184,67.04,35.48,98.60,20018,0.23,0.01,0.45,4170,4.40,3.11,5.69,474,0.70,0.00,1.99,21910,0.80,0.06,1.54,Not Available,Not Available,Not Available,Not Available
150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,,,LAWRENCEBURG,IN,47025,DEARBORN,8125371010,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,26,141.29,94.13,188.45,3761,0.24,0.00,0.61,491,3.37,0.00,7.19,106,0.72,0.00,2.72,3872,1.50,0.00,3.17,Not Available,Not Available,Not Available,Not Available
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,1872 RIVERSIDE CIRCLE,,,EASTON,PA,18045,NORTHAMPTON,6109543850,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
670069,METHODIST MCKINNEY HOSPITAL,8000 W ELDORADO PKWY,,,MC KINNEY,TX,75070,COLLIN,4694246400,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,89,0.34,0.00,0.77,79,5.62,0.66,10.58,Not Applicable,Not Applicable,Not Applicable,Not Applicable,83,2.01,0.00,4.38,Not Available,Not Available,Not Available,Not Available
